Country|City|Code|Name
FRANCE|AVIGNON|AVN|AVIGNON-CAUMONT AIRPORT
UNITED STATES|AVON PARK|AVO|AVON PARK EXECUTIVE AIRPORT
UNITED STATES|SCRANTON|AVP|WILKES BARRE SCRANTON INTERNATIONAL AIRPORT
AUSTRALIA|AVALON|AVV|AVALON AIRPORT
UNITED STATES|TUCSON|AVW|MARANA REGIONAL AIRPORT
UNITED STATES|CATALINA ISLAND|AVX|CATALINA AIRPORT
ETHIOPIA|AWASA|AWA|AWASSA AIRPORT
VANUATU|ANIWA|AWD|ANIWA AIRPORT
WAKE ISLAND|WAKE ISLAND|AWK|WAKE ISLAND AIRFIELD
UNITED STATES|ARLINGTON|AWO|ARLINGTON MUNICIPAL AIRPORT
IRAN|AHWAZ|AWZ|AHWAZ AIRPORT
ANGUILLA|THE VALLEY|AXA|WALLBLAKE AIRPORT
GREECE|ALEXANDROUPOLIS|AXD|DIMOKRITOS AIRPORT
JAPAN|AMAKUSA|AXJ|AMAKUSA AIRPORT
YEMEN|ATAQ|AXK|ATAQ AIRPORT
COLOMBIA|ARMENIA|AXM|EL EDEN AIRPORT
UNITED STATES|ALEXANDRIA|AXN|CHANDLER FIELD
BAHAMAS|SPRING POINT|AXP|SPRING POINT AIRPORT
FRENCH POLYNESIA|ARUTUA|AXR|ARUTUA AIRPORT
JAPAN|AKITA|AXT|AKITA AIRPORT
ETHIOPIA|AXUM|AXU|AXUM AIRPORT
KAZAKHSTAN|ARKALYK|AYK|ARKALYK NORTH AIRPORT
PERU|AYACUCHO|AYP|CORONEL FAP ALFREDO MENDIVIL DUARTE AIRPORT
AUSTRALIA|ULURU|AYQ|AYERS ROCK CONNELLAN AIRPORT
TURKEY|ANTALYA|AYT|ANTALYA INTERNATIONAL AIRPORT
AFGHANISTAN|SHARONA|AZ3|SHARANA AIRSTRIP
UNITED STATES|MESA|AZA|PHOENIX-MESA-GATEWAY AIRPORT
IRAN|YAZD|AZD|SHAHID SADOOGHI AIRPORT
UNITED ARAB EMIRATES|ABU DHABI|AZI|BATEEN AIRPORT
UZBEKISTAN|ANDIZHAN|AZN|ANDIZHAN AIRPORT
UNITED STATES|KALAMAZOO|AZO|KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT
ALGERIA|ADRAR|AZR|TOUAT CHEIKH SIDI MOHAMED BELKEBIR AIRPORT
DOMINICAN REPUBLIC|SAMANA|AZS|SAMANA EL CATEY INTERNATIONAL AIRPORT
UNITED STATES|MARYSVILLE|BAB|BEALE AIR FORCE BASE
UNITED STATES|SHREVEPORT|BAD|BARKSDALE AIR FORCE BASE
